episode,total_done,total_col,step,steps
239.0,194.5,0.05,211.5,240
240.0,195.25,0.0,237.05,241
241.0,195.9,2.6,244.35,242
242.0,196.5,0.85,253.6,243
243.0,197.2,0.4,247.6,244
244.0,197.75,0.0,258.35,245
245.0,198.65,0.0,141.35,246
246.0,199.45,0.3,209.4,247
247.0,200.15,0.1,216.35,248
248.0,200.85,0.0,265.65,249
249.0,201.45,0.45,270.2,250
250.0,202.2,0.0,251.2,251
251.0,202.7,0.0,275.7,252
252.0,203.35,0.0,241.15,253
253.0,204.05,0.0,222.45,254
254.0,204.8,0.6,219.6,255
255.0,205.65,0.0,245.65,256
256.0,206.35,0.0,226.2,257
257.0,207.05,0.05,202.2,258
258.0,207.7,0.0,271.7,259
259.0,208.5,0.2,214.85,260
260.0,209.15,0.05,225.5,261
261.0,209.85,0.0,268.55,262
262.0,210.5,0.2,252.55,263
263.0,211.15,0.15,277.45,264
264.0,211.8,0.25,209.1,265
265.0,212.5,0.0,239.2,266
266.0,213.1,0.15,281.85,267
267.0,213.75,0.65,232.1,268
268.0,214.35,0.05,236.25,269
269.0,214.9,0.05,280.1,270
270.0,215.45,0.5,278.0,271
271.0,215.85,0.65,298.4,272
272.0,216.3,4.1,292.75,273
273.0,216.85,0.15,286.6,274
274.0,217.4,0.0,279.7,275
275.0,217.75,0.0,338.35,276
276.0,218.0,0.05,350.85,277
277.0,218.4,0.05,321.9,278
278.0,218.7,0.6,343.0,279
279.0,219.2,0.0,281.2,280
280.0,219.55,0.0,336.85,281
281.0,220.15,0.0,305.0,282
282.0,220.55,0.05,373.5,283
283.0,221.0,0.7,302.6,284
284.0,221.55,0.0,288.35,285
285.0,221.9,1.0,316.05,286
286.0,222.4,0.1,312.25,287
287.0,222.9,0.1,284.75,288
288.0,223.5,0.05,282.65,289
289.0,223.8,1.45,326.3,290
290.0,224.2,0.05,326.2,291
291.0,224.8,0.05,262.65,292
292.0,225.2,0.0,289.3,293
293.0,225.65,0.0,303.8,294
294.0,226.05,0.0,300.6,295
295.0,226.65,0.0,262.3,296
296.0,227.25,0.05,297.1,297
297.0,227.8,0.0,296.85,298
298.0,228.15,0.0,300.15,299
299.0,228.75,0.1,285.15,300
