episode,tot_done,reward,steps
66.0,0.0,-31.666666666666668,67
67.0,0.0,-40.333333333333336,68
68.0,0.0,-42.888888888888886,69
69.0,0.0,-37.333333333333336,70
70.0,0.0,-45.0,71
71.0,0.0,-54.22222222222222,72
72.0,0.0,-41.0,73
73.0,0.0,-41.111111111111114,74
74.0,0.0,-33.55555555555556,75
75.0,0.0,-32.44444444444444,76
76.0,0.0,-33.44444444444444,77
77.0,0.0,-9.555555555555555,78
78.0,0.0,-33.44444444444444,79
79.0,0.0,-40.333333333333336,80
80.0,0.0,-22.22222222222222,81
81.0,0.0,-36.666666666666664,82
82.0,0.0,-35.666666666666664,83
83.0,0.0,-35.77777777777778,84
84.0,0.0,-28.555555555555557,85
85.0,0.0,-30.77777777777778,86
86.0,0.0,-37.333333333333336,87
87.0,0.0,-55.22222222222222,88
88.0,0.0,-43.44444444444444,89
89.0,0.0,-24.0,90
90.0,0.0,-44.22222222222222,91
91.0,0.0,-33.666666666666664,92
92.0,0.0,-27.11111111111111,93
93.0,0.0,-28.0,94
94.0,0.0,-35.77777777777778,95
95.0,0.0,-54.888888888888886,96
96.0,0.0,-26.666666666666668,97
97.0,0.0,-24.0,98
98.0,0.0,-35.0,99
99.0,0.0,-33.666666666666664,100
100.0,0.0,-39.111111111111114,101
101.0,0.0,-43.22222222222222,102
102.0,0.0,-13.88888888888889,103
103.0,0.0,-26.333333333333332,104
104.0,0.0,-37.111111111111114,105
105.0,0.0,-53.666666666666664,106
106.0,0.0,-31.88888888888889,107
107.0,0.0,-33.77777777777778,108
108.0,0.0,-23.77777777777778,109
109.0,0.0,-38.55555555555556,110
110.0,0.0,-34.111111111111114,111
111.0,0.0,-29.333333333333332,112
112.0,0.0,-23.666666666666668,113
113.0,0.0,-23.444444444444443,114
114.0,0.0,-30.88888888888889,115
115.0,0.0,-19.11111111111111,116
116.0,0.0,-41.666666666666664,117
117.0,0.0,-53.888888888888886,118
118.0,0.0,-27.77777777777778,119
119.0,0.0,-31.88888888888889,120
120.0,0.0,-20.88888888888889,121
121.0,0.0,-35.22222222222222,122
122.0,0.0,-38.77777777777778,123
123.0,0.0,-16.22222222222222,124
124.0,0.0,-37.0,125
125.0,0.0,-31.666666666666668,126
126.0,0.0,-19.77777777777778,127
127.0,0.0,-18.666666666666668,128
128.0,0.0,-33.0,129
129.0,0.0,-52.111111111111114,130
130.0,0.0,-23.22222222222222,131
131.0,0.0,-36.55555555555556,132
132.0,0.0,-20.666666666666668,133
133.0,0.0,-40.666666666666664,134
134.0,0.0,-24.333333333333332,135
135.0,0.0,-29.555555555555557,136
136.0,0.0,-25.0,137
137.0,0.0,-26.11111111111111,138
138.0,0.0,-52.111111111111114,139
139.0,0.0,-37.44444444444444,140
140.0,0.0,-35.0,141
141.0,0.0,-17.88888888888889,142
142.0,0.0,-41.111111111111114,143
143.0,0.0,-37.0,144
144.0,0.0,-34.0,145
145.0,0.0,-40.77777777777778,146
146.0,0.0,-21.666666666666668,147
147.0,0.0,-31.22222222222222,148
148.0,0.0,-31.11111111111111,149
149.0,0.0,-28.11111111111111,150
150.0,0.0,-21.666666666666668,151
151.0,0.0,-24.333333333333332,152
152.0,0.0,-25.77777777777778,153
153.0,0.0,-33.333333333333336,154
154.0,0.0,-6.0,155
155.0,0.0,-27.333333333333332,156
156.0,0.0,-44.111111111111114,157
157.0,0.0,-28.666666666666668,158
158.0,0.0,-16.666666666666668,159
159.0,0.0,-22.22222222222222,160
160.0,0.0,-28.444444444444443,161
161.0,0.0,-27.444444444444443,162
162.0,0.0,-25.333333333333332,163
163.0,0.0,-23.444444444444443,164
164.0,0.0,-34.666666666666664,165
165.0,0.0,-18.444444444444443,166
166.0,0.0,-34.55555555555556,167
167.0,0.0,-21.22222222222222,168
168.0,0.0,-28.77777777777778,169
169.0,0.0,-7.0,170
170.0,0.0,-19.22222222222222,171
171.0,0.0,-34.22222222222222,172
