Agent 0,Agent 1,min,max,avg,steps,trend
35.0,9.7,7.3,37.4,22.349999999999998,187,26.844892435959064
36.0,6.8,6.3,36.5,21.4,188,26.87946032322591
35.5,13.8,9.0,40.3,24.65,189,26.913704499563067
34.5,6.3,4.3,36.5,20.4,190,26.94762223675989
33.7,16.9,9.9,40.7,25.3,191,26.981210863025996
34.3,10.6,6.2,38.7,22.450000000000003,192,27.01446776299125
34.2,6.7,6.1,34.8,20.45,193,27.047390377705785
35.9,7.0,3.1,39.8,21.45,194,27.079976204639994
33.2,23.9,8.4,48.7,28.55,195,27.112222797684524
32.6,5.3,3.6,34.3,18.95,196,27.144127767150284
33.8,14.6,7.5,40.9,24.2,197,27.175688779768443
36.5,14.0,5.6,44.9,25.25,198,27.20690355869043
35.2,17.7,9.5,43.4,26.45,199,27.237769883487935
35.4,15.1,4.1,46.4,25.25,200,27.2682855901529
35.5,26.0,8.4,53.1,30.75,201,27.29844857109753
34.0,28.3,9.9,52.4,31.15,202,27.328256775154294
35.2,4.9,2.7,37.4,20.05,203,27.357708207575914
36.1,13.2,9.8,39.5,24.65,204,27.386800930035378
34.9,15.8,7.9,42.8,25.349999999999998,205,27.415533060625922
32.6,23.5,9.5,46.6,28.05,206,27.443902773861055
34.6,24.8,10.0,49.4,29.7,207,27.47190830067454
33.8,27.7,10.6,50.9,30.75,208,27.49954792842039
36.4,12.8,8.1,41.1,24.6,209,27.526820000872892
34.1,16.4,5.1,45.4,25.25,210,27.553722918226587
34.0,27.7,12.7,49.0,30.85,211,27.58025513709627
33.9,21.1,9.1,45.9,27.5,212,27.606415170517003
35.3,19.9,10.0,45.2,27.6,213,27.632201587944103
36.0,26.6,2.8,59.8,31.299999999999997,214,27.657613015253148
34.2,36.3,9.6,60.9,35.25,215,27.682648134739974
37.7,29.3,6.2,60.8,33.5,216,27.707305685120676
35.6,20.8,4.3,52.1,28.2,217,27.73158446153161
35.3,27.2,8.4,54.1,31.25,218,27.755483315529393
32.8,11.9,5.3,39.4,22.349999999999998,219,27.7790011550909
36.0,27.5,8.0,55.5,31.75,220,27.80213694461326
35.4,19.3,6.3,48.4,27.349999999999998,221,27.82488970491387
35.9,31.6,10.4,57.1,33.75,222,27.84725851323038
34.1,23.3,7.4,50.0,28.7,223,27.869242503220697
35.7,22.5,6.2,52.0,29.1,224,27.890840864963003
36.2,32.3,9.5,59.0,34.25,225,27.91205284495572
30.7,32.3,7.4,55.6,31.5,226,27.932877746117537
33.9,34.0,8.5,59.4,33.95,227,27.95331492778741
33.4,25.1,10.2,48.3,29.25,228,27.97336380572454
33.7,15.7,5.0,44.4,24.7,229,27.993023852108397
41.1,13.6,4.0,50.7,27.35,230,28.01229459553871
41.6,17.9,4.8,54.7,29.75,231,28.031175621035462
31.9,33.6,10.2,55.3,32.75,232,28.0496665700389
40.9,24.4,6.2,59.1,32.65,233,28.067767140409536
39.1,26.6,6.4,59.3,32.85,234,28.08547708642812
39.9,28.4,11.1,57.2,34.15,235,28.10279621879569
35.3,16.8,4.7,47.4,26.05,236,28.119724404633516
40.4,34.0,6.9,67.5,37.2,237,28.136261567483153
37.8,17.3,5.8,49.3,27.549999999999997,238,28.152407687306393
31.0,27.5,6.8,51.7,29.25,239,28.1681628004853
41.6,28.2,8.5,61.3,34.9,240,28.1835269998222
44.0,28.7,9.2,63.5,36.35,241,28.198500434539664
42.4,18.9,6.8,54.5,30.65,242,28.21308331028054
39.4,21.8,7.9,53.3,30.599999999999998,243,28.227275889107915
31.5,27.7,11.4,47.8,29.599999999999998,244,28.241078489505156
30.4,12.1,5.1,37.4,21.25,245,28.25449148637588
40.9,13.5,6.2,48.2,27.200000000000003,246,28.26751531104396
49.0,29.2,9.7,68.5,39.1,247,28.280150451253533
49.2,18.6,7.3,60.5,33.9,248,28.292397451168995
40.9,24.6,8.4,57.1,32.75,249,28.304256911375003
40.9,20.4,7.7,53.6,30.650000000000002,250,28.315729488876464
40.9,31.5,10.3,62.1,36.2,251,28.326815897098555
40.8,27.3,7.9,60.2,34.050000000000004,252,28.337516905886712
42.3,20.6,6.9,56.0,31.45,253,28.34783334150662
41.6,15.7,6.8,50.5,28.65,254,28.357766086644236
33.0,18.7,5.6,46.1,25.85,255,28.36731608040577
41.5,22.7,6.3,57.9,32.1,256,28.37648431831769
37.2,8.8,1.6,44.4,23.0,257,28.385271852326728
32.7,16.7,7.4,42.0,24.7,258,28.39367979079987
34.1,8.4,1.9,40.6,21.25,259,28.401709298524363
40.4,0.7,0.7,40.4,20.55,260,28.40936159670772
33.4,15.4,5.8,43.0,24.4,261,28.416637962977703
33.9,11.7,4.9,40.7,22.8,262,28.423539731382338
41.7,12.2,1.6,52.3,26.95,263,28.43006829238991
35.2,15.9,5.3,45.8,25.549999999999997,264,28.436225092888968
41.2,12.0,3.7,49.5,26.6,265,28.442011636188315
40.7,22.4,7.5,55.6,31.55,266,28.44742948201701
41.3,15.1,4.2,52.2,28.200000000000003,267,28.45248024652438
41.8,24.1,6.2,59.7,32.95,268,28.457165602280007
39.8,8.3,1.6,46.5,24.05,269,28.461487278273733
40.0,16.5,3.1,53.4,28.25,270,28.465447059915654
46.0,14.4,6.4,54.0,30.2,271,28.46904678903614
42.7,21.2,6.8,57.1,31.95,272,28.4722883638858
42.8,20.1,8.9,54.0,31.45,273,28.475173739135514
38.9,25.8,7.0,57.7,32.35,274,28.477704925876427
42.1,18.5,7.0,53.6,30.3,275,28.479883991619936
35.2,27.2,5.6,56.8,31.2,276,28.481713060297693
41.8,27.9,7.4,62.3,34.85,277,28.483194312261617
41.3,30.1,6.2,65.2,35.7,278,28.48432998428388
37.9,34.5,6.4,66.0,36.2,279,28.485122369556922
41.0,18.4,2.2,57.2,29.700000000000003,280,28.48557381769344
42.8,8.7,4.0,47.5,25.75,281,28.48568673472638
40.3,15.9,3.2,53.0,28.1,282,28.485463583108956
41.7,25.5,6.1,61.1,33.6,283,28.484906881714643
42.3,29.4,8.4,63.3,35.85,284,28.484019205837175
43.2,31.8,7.8,67.2,37.5,285,28.48280318719054
41.5,13.2,5.7,49.0,27.35,286,28.481261513908986
39.4,32.7,7.8,64.3,36.05,287,28.47939693054703
42.8,13.2,5.1,50.9,28.0,288,28.477212238079435
