episode,total_done,total_col,step,steps
258.0,6.375,7.75,325.0,259
259.0,6.375,0.5,325.0,260
260.0,6.375,2.5,325.0,261
261.0,6.375,6.125,325.0,262
262.0,6.375,3.75,325.0,263
263.0,6.375,0.875,325.0,264
264.0,6.375,1.625,325.0,265
265.0,6.375,7.5,325.0,266
266.0,6.5,0.75,314.625,267
267.0,6.5,1.75,325.0,268
268.0,6.625,1.25,298.75,269
269.0,6.625,0.5,325.0,270
270.0,6.625,0.75,325.0,271
271.0,6.75,1.0,311.5,272
272.0,6.75,0.25,325.0,273
273.0,6.875,2.625,312.25,274
274.0,6.875,0.375,325.0,275
275.0,6.875,1.125,325.0,276
276.0,7.0,1.25,309.875,277
277.0,7.0,9.625,325.0,278
278.0,7.125,0.75,313.625,279
279.0,7.125,0.625,325.0,280
280.0,7.25,1.75,313.0,281
281.0,7.25,0.5,325.0,282
282.0,7.25,0.875,325.0,283
283.0,7.25,1.125,325.0,284
284.0,7.375,0.5,307.75,285
285.0,7.375,1.375,325.0,286
286.0,7.5,4.0,310.75,287
287.0,7.625,2.5,318.5,288
288.0,7.625,3.375,325.0,289
289.0,7.75,4.5,307.375,290
290.0,7.75,0.125,325.0,291
291.0,7.75,6.25,325.0,292
292.0,7.75,16.625,325.0,293
293.0,7.75,0.5,325.0,294
294.0,7.75,0.75,325.0,295
295.0,7.75,0.375,325.0,296
296.0,7.875,0.375,316.75,297
297.0,7.875,2.25,325.0,298
298.0,7.875,0.625,325.0,299
299.0,7.875,0.875,325.0,300
