episode,tot_done,reward,steps
730.0,41.625,-4.125,731
731.0,41.75,-9.125,732
732.0,42.0,-11.75,733
733.0,42.25,-3.5,734
734.0,42.5,-3.0,735
735.0,42.75,-5.0,736
736.0,43.0,-4.0,737
737.0,43.125,-4.375,738
738.0,43.375,-3.25,739
739.0,43.625,-3.875,740
740.0,43.75,-6.25,741
741.0,44.0,-4.25,742
742.0,44.25,-3.375,743
743.0,44.375,-5.5,744
744.0,44.5,-8.375,745
745.0,44.75,-4.0,746
746.0,45.0,-4.625,747
747.0,45.125,-4.875,748
748.0,45.375,-3.0,749
749.0,45.625,-3.0,750
750.0,45.75,-3.25,751
751.0,46.0,-7.25,752
752.0,46.125,-4.625,753
753.0,46.25,-5.125,754
754.0,46.5,-6.25,755
755.0,46.75,-3.125,756
756.0,47.0,-4.875,757
757.0,47.0,-7.25,758
758.0,47.25,-3.0,759
759.0,47.5,-7.125,760
760.0,47.75,-5.875,761
761.0,48.0,-5.875,762
762.0,48.25,-5.5,763
763.0,48.5,-3.375,764
764.0,48.75,-4.75,765
765.0,49.0,-4.25,766
766.0,49.25,-4.375,767
767.0,49.375,-4.625,768
768.0,49.5,-9.125,769
769.0,49.75,-4.875,770
770.0,50.0,-3.0,771
771.0,50.25,-4.125,772
772.0,50.5,-3.125,773
773.0,50.75,-3.125,774
774.0,51.0,-5.0,775
775.0,51.125,-6.875,776
776.0,51.25,-6.375,777
777.0,51.5,-2.875,778
778.0,51.75,-7.375,779
779.0,52.0,-4.5,780
780.0,52.25,-3.0,781
781.0,52.375,-5.125,782
782.0,52.625,-3.0,783
783.0,52.875,-3.0,784
784.0,53.125,-3.375,785
785.0,53.375,-4.875,786
786.0,53.625,-4.0,787
787.0,53.75,-6.375,788
788.0,54.0,-4.25,789
789.0,54.25,-8.375,790
790.0,54.5,-3.0,791
791.0,54.75,-3.0,792
792.0,54.875,-5.0,793
793.0,55.125,-3.875,794
794.0,55.375,-3.0,795
795.0,55.625,-6.0,796
796.0,55.75,-3.75,797
797.0,56.0,-3.125,798
798.0,56.25,-3.0,799
799.0,56.5,-3.25,800
800.0,56.75,-5.5,801
801.0,57.0,-4.125,802
802.0,57.25,-4.75,803
803.0,57.5,-5.625,804
804.0,57.75,-3.0,805
805.0,58.0,-3.0,806
806.0,58.25,-3.0,807
807.0,58.5,-3.0,808
808.0,58.75,-3.0,809
809.0,59.0,-4.25,810
810.0,59.25,-3.0,811
811.0,59.5,-3.0,812
812.0,59.75,-3.0,813
813.0,59.875,-4.75,814
814.0,60.125,-3.375,815
815.0,60.375,-4.0,816
816.0,60.625,-4.375,817
817.0,60.875,-3.375,818
818.0,61.125,-3.0,819
819.0,61.375,-3.875,820
820.0,61.625,-4.375,821
821.0,61.875,-3.0,822
822.0,62.125,-3.0,823
823.0,62.375,-7.0,824
824.0,62.625,-4.75,825
825.0,62.875,-6.125,826
826.0,63.0,-5.5,827
827.0,63.25,-3.0,828
828.0,63.5,-3.25,829
829.0,63.75,-6.625,830
830.0,63.875,-7.625,831
831.0,64.125,-3.125,832
832.0,64.375,-3.0,833
833.0,64.625,-3.0,834
834.0,64.875,-3.875,835
835.0,65.125,-3.75,836
836.0,65.375,-3.5,837
837.0,65.625,-4.0,838
838.0,65.875,-3.375,839
839.0,66.0,-5.125,840
840.0,66.25,-3.0,841
841.0,66.5,-3.0,842
842.0,66.75,-2.75,843
843.0,66.875,-5.375,844
844.0,67.125,-3.875,845
845.0,67.375,-5.125,846
846.0,67.625,-3.0,847
847.0,67.875,-3.375,848
848.0,68.125,-3.0,849
849.0,68.375,-6.375,850
850.0,68.625,-3.0,851
851.0,68.75,-7.75,852
852.0,69.0,-4.375,853
853.0,69.25,-3.0,854
854.0,69.5,-3.875,855
855.0,69.75,-3.0,856
856.0,70.0,-5.25,857
857.0,70.25,-3.125,858
858.0,70.375,-5.625,859
859.0,70.625,-3.0,860
860.0,70.875,-3.75,861
861.0,71.125,-3.0,862
862.0,71.375,-3.0,863
863.0,71.625,-6.0,864
864.0,71.75,-3.875,865
865.0,72.0,-3.0,866
866.0,72.25,-3.0,867
867.0,72.5,-3.0,868
868.0,72.625,-3.875,869
869.0,72.875,-3.5,870
870.0,73.125,-3.0,871
871.0,73.375,-4.625,872
872.0,73.625,-3.0,873
873.0,73.75,-7.625,874
874.0,74.0,-3.0,875
875.0,74.25,-3.0,876
876.0,74.5,-5.5,877
877.0,74.75,-3.5,878
878.0,75.0,-7.375,879
879.0,75.25,-3.0,880
880.0,75.5,-5.125,881
881.0,75.75,-3.0,882
882.0,76.0,-3.0,883
883.0,76.25,-3.0,884
884.0,76.5,-3.0,885
885.0,76.75,-5.0,886
886.0,77.0,-3.0,887
887.0,77.25,-3.0,888
888.0,77.5,-3.875,889
889.0,77.75,-3.0,890
890.0,78.0,-3.0,891
891.0,78.25,-2.25,892
892.0,78.5,-3.0,893
893.0,78.75,-3.125,894
894.0,79.0,-3.0,895
895.0,79.125,-5.125,896
896.0,79.375,-5.375,897
897.0,79.5,-3.875,898
898.0,79.75,-5.375,899
899.0,80.0,-3.375,900
900.0,80.25,-3.5,901
901.0,80.5,-4.375,902
902.0,80.75,-3.0,903
903.0,80.875,-4.875,904
904.0,81.125,-3.0,905
905.0,81.375,-8.875,906
906.0,81.625,-3.875,907
907.0,81.875,-3.0,908
908.0,82.125,-3.0,909
909.0,82.25,-9.875,910
910.0,82.5,-3.0,911
911.0,82.75,-3.0,912
912.0,83.0,-4.125,913
913.0,83.25,-4.25,914
914.0,83.5,-6.25,915
915.0,83.75,-5.75,916
916.0,84.0,-3.0,917
917.0,84.25,-5.75,918
918.0,84.375,-3.875,919
919.0,84.625,-3.0,920
920.0,84.875,-3.25,921
921.0,85.125,-3.0,922
922.0,85.25,-6.875,923
923.0,85.5,-4.5,924
924.0,85.75,-4.125,925
925.0,86.0,-3.0,926
926.0,86.25,-3.625,927
927.0,86.5,-3.0,928
928.0,86.75,-3.0,929
929.0,87.0,-4.625,930
