Agent 0,Agent 1,avg,min,max,steps,trend
396.5,399.2,397.85,396.5,399.2,129,417.45533570932065
400.1,398.9,399.5,398.9,400.1,130,417.18335835399597
360.6,360.9,360.75,360.6,360.9,131,416.9141262987765
398.7,349.6,374.15,349.6,398.7,132,416.6478505811551
399.4,397.9,398.65,397.9,399.4,133,416.3847389671908
382.8,382.7,382.75,382.7,382.8,134,416.1249959515084
399.2,400.4,399.79999999999995,399.2,400.4,135,415.8688227572991
398.9,398.5,398.7,398.5,398.9,136,415.61641733631984
407.6,430.8,419.20000000000005,407.6,430.8,137,415.36797436889384
398.7,398.3,398.5,398.3,398.7,138,415.1236852639102
413.1,421.3,417.20000000000005,413.1,421.3,139,414.88373815882426
379.4,404.4,391.9,379.4,404.4,140,414.64831791965725
401.9,400.5,401.2,400.5,401.9,141,414.4176061409965
399.4,398.3,398.85,398.3,399.4,142,414.1917811459954
398.0,397.9,397.95,397.9,398.0,143,413.97101798637345
395.5,398.4,396.95,395.5,398.4,144,413.7554884424161
391.7,391.7,391.7,391.7,391.7,145,413.5453610229749
398.3,439.3,418.8,398.3,439.3,146,413.34080096546745
397.5,397.0,397.25,397.0,397.5,147,413.14197023587747
418.6,401.0,409.8,401.0,418.6,148,412.9490275287546
376.2,369.9,373.04999999999995,369.9,376.2,149,412.7621282672146
349.5,362.9,356.2,349.5,362.9,150,412.58142460293936
366.5,355.2,360.85,355.2,366.5,151,412.4070654161767
441.3,401.0,421.15,401.0,441.3,152,412.2391963157405
398.6,398.1,398.35,398.1,398.6,153,412.07795963901077
406.3,400.5,403.4,400.5,406.3,154,411.9234944519335
349.0,348.9,348.95,348.9,349.0,155,411.7759365490208
393.9,365.9,379.9,365.9,393.9,156,411.63541845335084
444.0,398.1,421.05,398.1,444.0,157,411.5020694165677
421.4,438.6,430.0,421.4,438.6,158,411.3760154188817
414.6,356.4,385.5,356.4,414.6,159,411.25737916906905
432.1,398.8,415.45000000000005,398.8,432.1,160,411.14628010447217
424.8,397.7,411.25,397.7,424.8,161,411.04283439099936
395.7,335.6,365.65,335.6,395.7,162,410.94715492312514
377.5,375.8,376.65,375.8,377.5,163,410.85935132389
433.9,443.4,438.65,433.9,443.4,164,410.77952994490045
399.7,399.4,399.54999999999995,399.4,399.7,165,410.7077938663291
447.6,445.9,446.75,445.9,447.6,166,410.64424289691465
398.7,399.2,398.95,398.7,399.2,167,410.5889735739617
448.0,448.1,448.05,448.0,448.1,168,410.54207916334116
448.4,448.9,448.65,448.4,448.9,169,410.5036496594897
449.3,448.5,448.9,448.5,449.3,170,410.47377178541024
420.9,406.8,413.85,406.8,420.9,171,410.4525289926717
447.6,364.7,406.15,364.7,447.6,172,410.44000146140905
349.6,353.5,351.55,349.6,353.5,173,410.43626610032334
400.4,449.3,424.85,400.4,449.3,174,410.4413965466816
401.6,400.2,400.9,400.2,401.6,175,410.4554631663169
447.1,448.9,448.0,447.1,448.9,176,410.47853305362855
399.4,400.6,400.0,399.4,400.6,177,410.5106700315817
457.6,455.0,456.3,455.0,457.6,178,410.5519346517076
425.3,423.6,424.45000000000005,423.6,425.3,179,410.60238419410365
381.9,349.4,365.65,349.4,381.9,180,410.6620726674333
416.6,427.0,421.8,416.6,427.0,181,410.73105080892583
448.5,443.6,446.05,443.6,448.5,182,410.8093660843768
450.5,453.1,451.8,450.5,453.1,183,410.8970626881478
400.5,392.9,396.7,392.9,400.5,184,410.9941815431664
426.2,413.6,419.9,413.6,426.2,185,411.10076030092625
401.9,404.9,403.4,401.9,404.9,186,411.216833341487
398.7,426.9,412.79999999999995,398.7,426.9,187,411.3424317734745
399.1,384.5,391.8,384.5,399.1,188,411.47758343408054
411.5,418.0,414.75,411.5,418.0,189,411.622312889063
416.9,421.1,419.0,416.9,421.1,190,411.77664143274563
400.5,422.6,411.55,400.5,422.6,191,411.9405870880186
418.3,422.4,420.35,418.3,422.4,192,412.1141646063378
458.2,457.4,457.79999999999995,457.4,458.2,193,412.29738546772535
443.5,443.4,443.45,443.4,443.5,194,412.4902578807694
433.5,452.2,442.85,433.5,452.2,195,412.69278678262407
493.0,493.8,493.4,493.0,493.8,196,412.9049738390096
449.5,449.3,449.4,449.3,449.5,197,413.1268174442123
449.2,449.6,449.4,449.2,449.6,198,413.3583127210844
463.7,463.5,463.6,463.5,463.7,199,413.5994515210445
492.5,492.3,492.4,492.3,492.5,200,413.85022242407683
448.9,389.7,419.29999999999995,389.7,448.9,201,414.11061073873196
490.9,491.1,491.0,490.9,491.1,202,414.3805985021265
404.5,381.6,393.05,381.6,404.5,203,414.66016447994286
493.1,492.9,493.0,492.9,493.1,204,414.9492841664299
449.1,449.1,449.1,449.1,449.1,205,415.2479297844022
449.0,399.0,424.0,399.0,449.0,206,415.5560702852405
398.3,399.2,398.75,398.3,399.2,207,415.8736713488917
443.3,411.3,427.3,411.3,443.3,208,416.20069538386855
497.2,496.9,497.04999999999995,496.9,497.2,209,416.53710152725006
469.3,418.3,443.8,418.3,469.3,210,416.8828456446811
435.6,435.2,435.4,435.2,435.6,211,417.2378803303728
457.2,459.7,458.45,457.2,459.7,212,417.6021549071021
499.2,498.8,499.0,498.8,499.2,213,417.97561542621213
443.8,443.4,443.6,443.4,443.8,214,418.3582046676122
498.0,398.1,448.05,398.1,498.0,215,418.7498621397774
415.4,414.3,414.85,414.3,415.4,216,419.15052407974906
449.2,443.7,446.45,443.7,449.2,217,419.5601234531345
400.4,398.0,399.2,398.0,400.4,218,419.9785899541071
403.9,353.2,378.54999999999995,353.2,403.9,219,420.40585000540636
378.2,388.6,383.4,378.2,388.6,220,420.8418267583377
349.3,399.7,374.5,349.3,399.7,221,421.28644009277264
390.9,389.9,390.4,389.9,390.9,222,421.7396066171488
305.4,311.6,308.5,305.4,311.6,223,422.20123966846984
404.3,420.7,412.5,404.3,420.7,224,422.6712493123054
439.1,449.3,444.20000000000005,439.1,449.3,225,423.14954234279134
488.1,480.4,484.25,480.4,488.1,226,423.63602228262937
492.9,443.2,468.04999999999995,443.2,492.9,227,424.13058938308745
493.9,477.0,485.45,477.0,493.9,228,424.63314062399934
486.9,487.3,487.1,486.9,487.3,229,425.1435697137651
477.8,477.9,477.85,477.8,477.9,230,425.6617670893507
498.8,498.8,498.8,498.8,498.8,231,426.1876199162882
449.4,449.8,449.6,449.4,449.8,232,426.72101208867576
448.6,429.2,438.9,429.2,448.6,233,427.26182422917753
493.8,494.8,494.3,493.8,494.8,234,427.80993368902375
499.0,498.7,498.85,498.7,499.0,235,428.3652145480106
471.3,477.2,474.25,471.3,477.2,236,428.9275376145006
498.5,498.9,498.7,498.5,498.9,237,429.4967704254219
479.3,478.6,478.95000000000005,478.6,479.3,238,430.07277724626914
492.9,448.4,470.65,448.4,492.9,239,430.6554190711027
448.2,492.3,470.25,448.2,492.3,240,431.24455362254906
493.3,496.0,494.65,493.3,496.0,241,431.84003535180096
496.6,496.4,496.5,496.4,496.6,242,432.44171543861694
497.0,497.3,497.15,497.0,497.3,243,433.04944179132167
492.5,456.9,474.7,456.9,492.5,244,433.663059046806
499.3,496.5,497.9,496.5,499.3,245,434.2824085705267
499.2,448.9,474.04999999999995,448.9,499.2,246,434.90732845650655
480.9,481.0,480.95,480.9,481.0,247,435.5376535273345
472.9,424.0,448.45,424.0,472.9,248,436.17321533416555
398.8,397.4,398.1,397.4,398.8,249,436.8138421567206
440.3,439.5,439.9,439.5,440.3,250,437.45935900328686
330.0,326.6,328.3,326.6,330.0,251,438.10958761071737
335.3,352.9,344.1,335.3,352.9,252,438.7643464444312
353.9,286.3,320.1,286.3,353.9,253,439.4234506984138
363.2,389.7,376.45,363.2,389.7,254,440.0867122952162
370.3,344.7,357.5,344.7,370.3,255,440.7539398859559
355.3,361.7,358.5,355.3,361.7,256,441.42493885031615
438.9,418.7,428.79999999999995,418.7,438.9,257,442.0995112965465
412.4,350.2,381.29999999999995,350.2,412.4,258,442.7774560614623
443.8,429.3,436.55,429.3,443.8,259,443.45856871044526
495.9,449.1,472.5,449.1,495.9,260,444.14264153744284
440.7,351.5,396.1,351.5,440.7,261,444.82946356496865
486.5,411.3,448.9,411.3,486.5,262,445.5188205441025
446.7,445.4,446.04999999999995,445.4,446.7,263,446.21049495449
441.4,442.8,442.1,441.4,442.8,264,446.90426600434307
444.3,447.0,445.65,444.3,447.0,265,447.5999096304395
352.1,357.8,354.95000000000005,352.1,357.8,266,448.29719849812324
445.1,444.6,444.85,444.6,445.1,267,448.9959020013042
444.1,444.2,444.15,444.1,444.2,268,449.69578626245834
455.7,405.4,430.54999999999995,405.4,455.7,269,450.3966141326278
391.1,394.6,392.85,391.1,394.6,270,451.0981451914207
423.8,395.6,409.70000000000005,395.6,423.8,271,451.80013574701115
491.1,461.3,476.20000000000005,461.3,491.1,272,452.50233883613936
496.7,496.8,496.75,496.7,496.8,273,453.2045042241117
449.1,449.1,449.1,449.1,449.1,274,453.90637840480036
481.4,481.1,481.25,481.1,481.4,275,454.6077046006438
436.4,429.1,432.75,429.1,436.4,276,455.30822276264644
442.8,443.7,443.25,442.8,443.7,277,456.0076695703787
436.9,462.1,449.5,436.9,462.1,278,456.7057784319772
460.4,443.4,451.9,443.4,460.4,279,457.40227948414446
449.3,449.0,449.15,449.0,449.3,280,458.0968995921491
381.7,384.8,383.25,381.7,384.8,281,458.7893623498259
447.7,435.6,441.65,435.6,447.7,282,459.47938807957553
489.2,482.0,485.6,482.0,489.2,283,460.16669383236484
495.0,486.6,490.8,486.6,495.0,284,460.8509933877266
396.7,398.2,397.45,396.7,398.2,285,461.53199725375976
467.1,445.5,456.3,445.5,467.1,286,462.2094126671293
441.3,438.3,439.8,438.3,441.3,287,462.88294359306616
442.5,441.7,442.1,441.7,442.5,288,463.55229072536747
443.9,446.9,445.4,443.9,446.9,289,464.21715148639623
399.3,399.2,399.25,399.2,399.3,290,464.8772200270817
421.6,416.6,419.1,416.6,421.6,291,465.53218722691906
441.2,429.6,435.4,429.6,441.2,292,466.1817406939696
476.2,453.0,464.6,453.0,476.2,293,466.82556476486053
459.9,469.6,464.75,459.9,469.6,294,467.4633405047854
430.4,440.0,435.2,430.4,440.0,295,468.09474570750353
440.1,432.6,436.35,432.6,440.1,296,468.7194548953404
463.5,442.5,453.0,442.5,463.5,297,469.33713931918754
494.0,461.7,477.85,461.7,494.0,298,469.94746695850256
497.8,468.2,483.0,468.2,497.8,299,470.5501025213091
490.6,476.1,483.35,476.1,490.6,300,471.1447074441968
426.5,423.4,424.95,423.4,426.5,301,471.73093989232143
490.1,485.8,487.95000000000005,485.8,490.1,302,472.30845475940475
495.5,486.8,491.15,486.8,495.5,303,472.87690366773467
457.2,465.4,461.29999999999995,457.2,465.4,304,473.43593496816504
495.9,496.1,496.0,495.9,496.1,305,473.98519374011585
498.9,498.9,498.9,498.9,498.9,306,474.524321791573
490.1,490.3,490.20000000000005,490.1,490.3,307,475.05295765908875
