episode,mean,stderr,upper,lower
33,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
34,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
35,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
36,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
37,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
38,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
39,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
40,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
41,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
42,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
43,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
44,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
45,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
46,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
47,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
48,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
49,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
50,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
51,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
52,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
53,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
54,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
55,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
56,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
57,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
58,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
59,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
60,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
61,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
62,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
63,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
64,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
65,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
66,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
67,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
68,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
69,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
70,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
71,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
72,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
73,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
74,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
75,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
76,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
77,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
78,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
79,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
80,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
81,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
82,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
83,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
84,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
85,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
86,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
87,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
88,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
89,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
90,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
91,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
92,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
93,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
94,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
95,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
96,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
97,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
98,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
99,0.4,0.4000000000000001,0.8,-5.551115123125783e-17
