Agent 0,Agent 1,avg,min,max,steps,trend
293.3333333333333,415.3333333333333,354.3333333333333,293.3333333333333,415.3333333333333,139,325.43889338123296
244.16666666666666,361.1666666666667,302.6666666666667,244.16666666666666,361.1666666666667,140,325.4920292342599
341.3333333333333,367.3333333333333,354.3333333333333,341.3333333333333,367.3333333333333,141,325.5391296702781
335.8333333333333,266.5,301.16666666666663,266.5,335.8333333333333,142,325.58031539649124
370.5,414.0,392.25,370.5,414.0,143,325.6157065113689
291.1666666666667,332.5,311.83333333333337,291.1666666666667,332.5,144,325.64542250464655
291.1666666666667,414.0,352.58333333333337,291.1666666666667,414.0,145,325.66958225732543
371.8333333333333,409.3333333333333,390.5833333333333,371.8333333333333,409.3333333333333,146,325.6883040416726
369.1666666666667,410.1666666666667,389.6666666666667,369.1666666666667,410.1666666666667,147,325.70170552122113
291.1666666666667,332.0,311.58333333333337,291.1666666666667,332.0,148,325.7099037507697
373.0,330.3333333333333,351.66666666666663,330.3333333333333,373.0,149,325.7130151763829
373.6666666666667,415.1666666666667,394.4166666666667,373.6666666666667,415.1666666666667,150,325.7111556353914
374.0,415.6666666666667,394.83333333333337,374.0,415.6666666666667,151,325.70444035639133
290.8333333333333,330.6666666666667,310.75,290.8333333333333,330.6666666666667,152,325.69298395924494
295.5,414.3333333333333,354.91666666666663,295.5,414.3333333333333,153,325.67690045508016
315.5,331.0,323.25,315.5,331.0,154,325.656303246291
317.3333333333333,384.6666666666667,351.0,317.3333333333333,384.6666666666667,155,325.631305126537
328.1666666666667,413.8333333333333,371.0,328.1666666666667,413.8333333333333,156,325.60201828074366
411.0,332.6666666666667,371.83333333333337,332.6666666666667,411.0,157,325.56855428510244
384.8333333333333,332.3333333333333,358.5833333333333,332.3333333333333,384.8333333333333,158,325.5310241070706
363.3333333333333,248.66666666666666,306.0,248.66666666666666,363.3333333333333,159,325.4895381053711
343.3333333333333,397.1666666666667,370.25,343.3333333333333,397.1666666666667,160,325.44420602999287
406.3333333333333,414.6666666666667,410.5,406.3333333333333,414.6666666666667,161,325.3951370221906
279.3333333333333,247.0,263.16666666666663,247.0,279.3333333333333,162,325.34243961448504
364.8333333333333,249.66666666666666,307.25,249.66666666666666,364.8333333333333,163,325.2862217306624
405.8333333333333,331.5,368.66666666666663,331.5,405.8333333333333,164,325.22659068577514
364.3333333333333,249.0,306.66666666666663,249.0,364.3333333333333,165,325.1636531861413
279.1666666666667,232.33333333333334,255.75,232.33333333333334,279.1666666666667,166,325.09751532934473
363.3333333333333,255.66666666666666,309.5,255.66666666666666,363.3333333333333,167,325.02828260423536
359.0,328.0,343.5,328.0,359.0,168,324.95605989092877
